XTime (sec) (Time  sec)a:y(Car body) a:y(Car body) - Acceleration of point (0 0 0) of body Car body relative to Base0  SC Base0  projection Y (a:y(Car body)),Time (sec) (Time  sec)a:y(Car body) a:z(Car body) - Acceleration of point (0 0 0) of body Car body relative to Base0  SC Base0  projection Z (a:y(Car body)),Time (sec) (Time  sec)a:y(Car body) a:x(Car body) - Acceleration of point (0 0 0) of body Car body relative to Base0  SC Base0  projection X (a:y(Car body)),
0.79537499,-0.041966692,0.12098763,0.094685622
0.80037498,-0.039087459,0.1351326,0.065144621
0.80537498,-0.038126156,0.046726584,-0.014713531
0.81037498,-0.028555868,0.0079908557,-0.064478755
0.81537497,-0.025116453,0.09861961,-0.030934826
0.82037503,-0.017168939,-0.0025353837,-0.057621866
0.82537502,-0.010927458,0.033728424,-0.003999108
0.83037502,-0.0055487477,0.044583533,0.044594884
0.83537501,-0.0032684086,-0.12791136,0.0076035266
0.84037501,0.0084691336,0.19134118,0.07737942
0.845375,0.017147861,-0.40812948,0.23450752
0.850375,0.020482592,0.14538591,0.08087901
0.85587502,0.022284297,-0.15519068,0.019736728
0.86087501,0.025388503,0.1705468,-0.012397886
0.86587501,0.030865738,-0.022637106,-0.092866078
0.870875,0.033330064,0.028832367,-0.036981795
0.875875,0.036492392,0.14907195,-0.070218071
0.88087499,0.036247458,-0.037095007,-0.059068348
0.88587499,0.038837079,0.048729006,0.016472667
0.89087498,0.044434503,0.0075819744,0.01421211
0.89687502,0.045070115,-0.076135233,0.036009043
0.90087497,0.04646052,-0.062181681,0.035739511
0.90587503,0.046960816,-0.13301149,0.0030809264
0.91087502,0.049714312,-0.11810663,-0.018930051
0.91587502,0.050611202,-0.16238028,-0.080296002
0.921875,0.047960706,-0.14552402,-0.09671703
0.92587501,0.04748844,-0.12694596,-0.1014441
0.930875,0.045914739,-0.1238308,-0.095726214
0.935875,0.044893004,-0.070416309,-0.059166871
0.94187498,0.039857052,-0.056722648,-0.020934124
0.94587499,0.037640572,-0.031703901,0.0090968646
0.95087498,0.036148153,-0.0056422465,0.037318081
0.95687503,0.034226045,0.0060347239,0.048953623
0.96087497,0.033068419,0.02102658,0.046918187
0.96587503,0.032257531,0.01697698,0.027855271
0.97087502,0.033251733,0.011841436,0.00068741199
0.97587502,0.03462407,-0.0076122144,-0.026963504
0.981875,0.035691705,0.00059410208,-0.033966426
0.98587501,0.03662109,-0.23958543,-0.1382363
0.99087501,0.038341898,0.013481786,-0.0080022737
0.995875,0.039807975,-0.10822552,-0.048899576
1.000875,0.039551474,0.061726615,0.028332084
1.005875,0.039627735,0.018094411,0.025919233
1.010875,0.039024062,-0.034100749,-0.0015779241
1.015875,0.037655521,0.10070934,0.042961426
1.020875,0.035884257,0.019265747,-0.010510923
1.025875,0.033100717,0.060848255,-0.034377709
1.030875,0.030527972,0.098621823,-0.028421568
1.036875,0.026561938,0.047848947,-0.076294504
1.040875,0.023480747,0.10656673,-0.050525565
1.045875,0.019161453,0.071588367,-0.034087796
1.050375,0.01523184,0.088136949,-0.021218272
1.055375,0.010658329,0.10807227,0.018488627
1.060375,0.0072288886,0.11536928,0.041655194
1.065375,-0.00056646008,0.10495654,0.060004711
1.071375,-0.0070559746,0.10559883,0.057870958
1.075375,-0.011714228,0.091490105,0.053232484
1.080375,-0.016358633,0.16221344,0.037298046
1.085375,-0.022253716,-0.22352062,0.18810548
1.0903749,-0.027424375,0.20182772,-0.0097930739
1.095875,-0.03037256,0.020730913,0.040335674
1.100875,-0.027246745,0.14591388,0.011009921
1.1068749,-0.02945509,0.15232782,0.031298555
1.110875,-0.025014693,0.075925693,0.066251494
1.115875,-0.02427437,0.10763661,0.054441746
1.120875,-0.02053549,0.043456484,0.099176235
1.125875,-0.016126154,0.10325118,0.052074868
1.130875,-0.011921409,0.022138093,0.083420925
1.135875,-0.0086217513,0.086354755,0.021507526
1.140875,-0.0048882854,0.057723466,0.026373142
1.145875,-0.0029625499,-0.028172161,-0.05801294
1.150375,-0.0029349928,0.082301788,-0.026380071
1.155375,-0.0030583432,0.086967759,-0.025309049
1.160375,-0.0024649652,0.13060851,-0.016429614
1.166375,-0.0053327829,0.1308914,0.013903566
1.170375,-0.005520836,0.15849957,0.01425517
1.175375,-0.0060484027,0.16333041,0.027028788
1.180375,-0.0065653245,0.081670083,0.036467474
1.185375,-0.0064646453,0.11358973,0.019951429
1.190375,-0.0059814518,0.0451786,0.0080456762
1.195375,-0.0049400311,0.040042665,-0.016536314
1.200875,-0.0040870192,-0.044725709,-0.032207157
1.205875,-0.0048068543,-0.19129717,-0.050601892
1.211875,-0.0068644537,-0.185352,-0.054778066
1.215875,-0.0098649208,-0.31681788,-0.06152451
1.220875,-0.02146643,-0.33026749,-0.052307259
1.225875,-0.020777976,-0.3904703,-0.025030375
1.230875,-0.034577653,-0.40245438,0.0034952869
1.235875,-0.044758875,-0.4356201,-0.027506795
1.2418751,-0.063047394,-0.50160509,-0.038502004
1.245875,-0.073731363,-0.46045545,-0.057661686
1.251875,-0.093378663,-0.50418919,-0.082364395
1.255875,-0.10450166,-0.48353541,-0.097771287
1.260875,-0.12077937,-0.40835679,-0.096785791
1.265875,-0.13427931,-0.40959018,-0.1051594
1.270375,-0.14555125,-0.3604565,-0.10461175
1.275375,-0.15525012,-0.2823745,-0.1088502
1.280375,-0.16601735,-0.16753849,-0.083275199
1.285375,-0.17383322,-0.12826072,-0.050109945
1.290375,-0.17522256,-0.074236974,-0.02474617
1.295375,-0.18285063,-0.088332191,0.036738403
1.300375,-0.18497421,0.11384605,-0.017250009
1.305375,-0.18801464,0.07992354,0.017495159
1.310375,-0.19098842,0.24545562,-0.014518228
1.315375,-0.17955153,0.14365406,-0.0073488406
1.320375,-0.18108849,0.13438313,-0.014158965
1.325375,-0.17333338,0.15056418,-0.021595718
1.330375,-0.16682652,0.071216635,0.020823481
1.335375,-0.15940443,0.11126178,0.022564258
1.341375,-0.14749284,0.077098243,0.049771577
1.3453749,-0.13735692,0.12948756,0.047248993
1.3503751,-0.12705444,0.12854812,0.054723199
1.356375,-0.11449642,0.13081518,0.058725644
1.360375,-0.10797272,0.19749615,0.02029809
1.365375,-0.10395378,0.19623667,0.019036185
1.370875,-0.079996958,0.24274722,0.01649672
1.375875,-0.070961416,0.26014936,0.013870047
1.381875,-0.060169999,0.24613376,0.032071568
1.385875,-0.054845758,0.2705479,0.035319515
1.390875,-0.047892299,0.19393845,0.064657949
1.395875,-0.044427481,0.16973424,0.073791467
1.400875,-0.036638331,0.097704463,0.094328731
1.405875,-0.027372917,0.072923221,0.089069866
1.410875,-0.018354962,0.027795643,0.082944132
1.415875,-0.019218218,-0.057917308,0.078022473
1.420875,-0.01146346,-0.06270618,0.048366074
1.4258749,-0.0082368031,-0.071716353,0.041049838
1.4308749,0.0032205526,-0.062108126,0.025622742
1.4358751,0.0083361082,-0.068760738,0.019463116
1.4408751,0.0024809744,-0.03553655,0.0096618049
1.445875,0.010759404,-0.023405625,0.00506233
1.450875,0.022437965,-0.067194007,0.027182743
1.455875,0.030292574,-0.0314513,0.0081879338
1.461875,0.031985156,-0.1068445,0.0015366073
1.465875,0.03762015,-0.095722586,-0.016114637
1.470875,0.044558883,-0.16206923,-0.032773137
1.475875,0.04358783,-0.18055861,-0.056347061
1.480875,0.049550161,-0.23061763,-0.09069448
1.485875,0.055370037,-0.41797483,-0.063077301
1.4918751,0.051211387,-0.45625466,-0.076591782
1.495375,0.076204605,-0.49390945,-0.063177928
1.500375,0.065254897,-0.45913926,-0.081746496
1.505375,0.068830796,-0.45890653,-0.064678364
1.510875,0.064489163,-0.38989824,-0.048089046
1.515875,0.066787995,-0.57566822,0.034671608
1.520875,0.070119217,-0.27174732,-0.038106415
1.525875,0.069357961,-0.1583769,-0.030971194
1.530875,0.0666207,-0.045305334,-0.017341213
1.535875,0.076489344,0.13857573,-0.03046543
1.541875,0.071614951,0.29105261,-0.012084886
1.545875,0.053848587,0.31396013,0.019583769
1.5508749,0.063803069,0.36276886,0.034871839
