XDistance (m) (Distance  m)mm Left rail  vertical irregularities (mm);Distance (m) (Distance  m)mm Right rail  vertical irregularities (mm);Distance (m) (Distance  m)mm Left rail  horizontal irregularities (mm);Distance (m) (Distance  m)mm Right rail  horizontal irregularities (mm);
24.6;0.007005562;0.010761546;-0.015949128;-0.012274805
24.700001;0.007224472;0.011535999;-0.015507806;-0.012230222
24.799999;0.007436307;0.012308102;-0.015141284;-0.012045974
24.9;0.007623852;0.013010195;-0.014857577;-0.011806735
25;0.007762676;0.013572451;-0.014643678;-0.011599708
25.1;0.007831423;0.013939236;-0.014473863;-0.011489796
25.200001;0.007822145;0.01408559;-0.014321347;-0.01150239
25.299999;0.007746648;0.014028711;-0.014169546;-0.011618975
25.4;0.007636088;0.013830261;-0.0140194;-0.011786417
25.5;0.007533491;0.013587635;-0.013890556;-0.011936368
25.6;0.007481517;0.013415491;-0.013816095;-0.012007866
25.700001;0.007509725;0.013421886;-0.01383266;-0.011965582
25.799999;0.007626042;0.013685099;-0.013969177;-0.011807824
25.9;0.007815916;0.014237505;-0.014237864;-0.011562299
26;0.008049928;0.015060857;-0.014630347;-0.01127194
26.1;0.008297606;0.016094288;-0.015120068;-0.010976548
26.200001;0.008542686;0.017252635;-0.015670089;-0.010697328
26.299999;0.008794201;0.018449791;-0.016243668;-0.010430153
26.4;0.009088838;0.019620268;-0.016814075;-0.010150027
26.5;0.009482857;0.020733016;-0.017370438;-0.009825185
26.6;0.010035354;0.021793783;-0.017917745;-0.009435586
26.700001;0.010787916;0.022836013;-0.018471055;-0.008988983
26.799999;0.011747215;0.023903623;-0.019045815;-0.008528413
26.9;0.012876568;0.025031457;-0.019647583;-0.008127929
27;0.014099823;0.026229594;-0.020264469;-0.007877205
27.1;0.015317043;0.027476452;-0.020864885;-0.007859532
27.200001;0.016427621;0.028722366;-0.021401392;-0.008129696
27.299999;0.017353991;0.029902214;-0.021819619;-0.008698284
27.4;0.018058721;0.030952541;-0.022069702;-0.00952678
27.5;0.018549901;0.031827427;-0.02211705;-0.010534359
27.6;0.018873395;0.032507937;-0.021949681;-0.011613818
27.700001;0.019094678;0.033002149;-0.021580525;-0.012651692
27.799999;0.019276289;0.033336211;-0.021044794;-0.013547013
27.9;0.019458104;0.033539742;-0.020393858;-0.014224514
28;0.019646551;0.033631112;-0.019687872;-0.014640484
28.1;0.019815806;0.033608075;-0.018989284;-0.014782191
28.200001;0.01991988;0.033447653;-0.018358393;-0.014663588
28.299999;0.019911122;0.033115953;-0.017851094;-0.014320518
