X a:y(Car body) - Acceleration of point (0 0 1) of body Car body relative to Base0  SC Base0  projection Y, a:z(Car body) - Acceleration of point (0 0 1) of body Car body relative to Base0  SC Base0  projection Z,
1.4456249,0,-0.012411751
1.451625,0,-0.043533344
1.4556251,0,0.014378319
1.4606251,0,-0.035969019
1.465625,0,0.021430159
1.470625,0,-0.0059505394
1.476625,0,-0.048354313
1.480625,0,0.013531252
1.485625,0,-0.056133721
1.490625,0,0.02733073
1.495625,0,-0.018929677
1.5016249,0,0.0091562085
1.505625,0,-0.025010487
1.510625,0,-0.043007348
1.515625,0,-0.021097798
1.521625,0,0.041440409
1.525625,0,-0.039978195
1.531625,0,-0.011707488
1.535625,0,-0.01014611
1.541625,0,0.0045818235
1.545625,0,-0.0018087368
1.550625,0,-0.04396975
1.555625,0,0.0049687112
1.561625,0,-0.032968674
1.565625,0,0.0027313333
1.571625,0,0.018585211
1.5756249,0,0.01875026
1.5806251,0,9.0624286E-0005
1.586625,0,0.018645508
1.590625,0,-0.0041517951
1.596625,0,-0.00270726
1.600625,0,-0.012927791
1.605625,0,-0.00059417379
1.6101249,0,-0.0033487882
1.6151249,0,-0.022109462
1.6201251,0,0.011360477
1.6251251,0,-0.011500449
1.631125,0,-0.01467618
1.635125,0,-0.0071445159
1.641125,0,-0.0066513345
1.645125,0,0.0048585408
1.650125,0,-0.00056902511
1.6561249,0,0.00078418624
1.660125,0,0.0012668493
1.665125,0,-0.0094075864
1.670125,0,0.00090352289
1.675125,0,0.0067800498
1.681125,0,0.0078086718
1.685125,0,-0.0088755358
1.691125,0,0.0010788986
1.695125,0,0.0004154442
1.700125,0,-0.0062009385
1.7056251,0,0.010049055
1.7106251,0,-0.0018712285
1.715625,0,-0.0015180246
1.721625,0,0.0062591536
1.725625,0,0.0024481486
1.731625,0,-0.0024482319
1.735625,0,0.0016022964
1.740625,0,0.0012509389
1.7466249,0,-0.013602271
1.750625,0,0.0025650321
1.7566251,0,0.0031087028
1.760625,0,-0.0013892646
1.765625,0,0.00016665633
1.771625,0,-0.0069810241
1.775625,0,0.0032464752
1.780625,0,-0.0090631805
1.785625,0,0.030759597
1.790625,0,0.0027243458
1.796625,0,0.0055569098
1.800625,0,-0.0023301644
1.806625,0,0.0014194583
1.810625,0,-0.0027802621
1.815625,0,-0.0011249514
1.821625,0,0.0062549761
1.8256249,0,-0.015967293
1.831625,0,0.08020363
1.8356251,0,-0.0083769904
1.840625,0,0.0036443216
1.846625,0,9.1905626E-0005
1.850625,0,0.010118949
1.856625,0,-0.0072538289
1.860625,0,-0.0031674851
1.865625,0,-0.0051593091
1.8716249,0,-0.0096678156
1.875625,0,-0.002589948
1.8816251,0,0.0069272844
1.885625,0,-0.0064857909
1.890625,0,0.00011195572
1.895125,0,0.00043020016
1.900125,0,-0.0081282714
1.905125,0,-0.020182926
1.910125,0,0.0033352904
1.9161251,0,0.011375678
1.920125,0,0.0028362907
1.926125,0,0.0064281691
1.930125,0,0.003537161
1.935125,0,0.0059860134
1.941125,0,0.0080599347
1.945125,0,0.0046147262
1.951125,0,0.018434225
1.955125,0,0.0050452128
1.960125,0,0.0030283236
1.966125,0,0.012366093
1.970125,0,-0.011657127
1.976125,0,0.0037691998
1.980125,0,-0.0010442456
1.9851249,0,-0.0035670409
1.990625,0,0.0012106136
1.995625,0,0.0037395749
2.0006249,0,-0.0030257278
2.0066249,0,-0.007950224
2.0106249,0,0.010324123
2.0166249,0,0.088661216
2.0206251,0,-0.010390939
2.025125,0,-0.0077996324
