X a:y(Bogie1.Bogie) - Acceleration of point (1.2 -1 1.1) of body Bogie1.Bogie relative to Base0  SC Base0  projection Y, a:z(Bogie1.Bogie) - Acceleration of point (1.2 -1 1.1) of body Bogie1.Bogie relative to Base0  SC Base0  projection Z,
1.285625,0.43764597,-0.93853146
1.290625,1.8275102,3.1644192
1.295625,-0.3404091,7.5343127
1.300625,-4.054121,11.076611
1.305625,-6.1260748,13.286249
1.310625,-6.1047711,14.392488
1.315625,-5.8946972,14.441376
1.3206249,-4.8219824,13.672486
1.3256249,-3.7843649,11.241836
1.3306251,-0.20548435,8.3864231
1.3356251,2.0591526,4.7148561
1.340625,1.6687261,0.59359521
1.345625,0.55171663,-2.9306307
1.350625,1.9894832,-5.6705489
1.355625,0.60180515,-7.4701295
1.360625,-0.5078603,-8.8132515
1.365625,-1.89353,-9.0841808
1.370625,-2.8982379,-8.2860231
1.375625,-4.7729888,-6.7791286
1.380625,-7.4816556,-5.0717325
1.385625,-9.2351885,-3.4020143
1.390625,-8.6414042,-1.7337824
1.395625,-5.316112,-0.28573909
1.400625,-1.0201635,0.50011343
1.405625,3.052263,0.69554275
1.410625,5.537663,0.86884141
1.415625,8.8850756,0.50198734
1.420625,7.9016757,-0.035687797
1.425625,4.6137619,-1.1342735
1.430625,2.3778651,-2.5922503
1.435625,-1.3066869,-4.1612687
1.440625,-2.9235954,-4.7391
1.4456249,-1.5594769,-5.4739637
1.4506249,1.1421565,-6.3022637
1.4556251,1.8957689,-6.3318491
1.4606251,0.98706019,-5.1880889
1.465625,0.56113172,-3.3784671
1.470625,1.0847918,-1.3722248
1.475625,1.1518409,0.84614694
1.480625,1.0291058,2.9773088
1.485625,0.31036666,5.1518331
1.490625,-2.1827061,6.7231827
1.495625,-1.5983336,7.4001384
1.500625,-0.32319242,6.6320248
1.505625,-0.22259966,4.9825196
1.510625,-0.37360033,2.7477307
1.515625,0.42846054,0.10614547
1.520625,2.3052068,-2.7801819
1.525625,3.9505184,-5.3200827
1.530625,3.5069048,-7.1033263
1.535625,2.4548237,-7.6895061
1.540625,1.3230306,-7.2744498
1.545625,0.24009982,-5.9552379
1.550625,-0.53930706,-3.720233
1.555625,-1.0051734,-0.74341011
1.560625,-1.4868777,2.5350053
1.565625,-3.4593689,5.8078027
1.5706249,-2.3842132,8.8304644
1.5756249,1.2080375,11.183389
1.5806251,2.2037239,11.829412
1.5856251,0.21350938,11.017416
1.590625,-1.0458119,9.2657928
1.595625,-0.79373008,6.6004047
1.600625,-0.3539623,2.8700507
1.605625,-0.30009952,-1.5747284
1.610625,-0.24912161,-5.9652433
1.615625,0.10663265,-9.6579342
1.620625,-2.0342855,-12.527537
1.625625,-1.3290069,-13.740314
1.630625,0.38226068,-13.305284
1.635625,0.98690134,-11.287954
1.640625,0.67018646,-7.7092791
1.645625,0.38719505,-2.7798481
1.650625,2.1129227,3.1842079
1.655625,3.7755673,8.9636965
1.660625,3.6260045,13.821674
1.665625,3.2290263,17.654497
1.670625,3.5097454,20.17511
1.675625,3.7097476,20.829533
1.680625,3.2073054,19.509998
1.685625,1.3410378,15.902656
1.690625,-2.2670226,10.158061
1.6956249,-3.5727284,3.6421335
1.7006249,-1.6059476,-3.4772265
1.7056251,0.095474064,-10.89034
1.7106251,0.29569185,-17.70999
1.715625,0.11543703,-22.87077
1.720625,0.28925252,-25.745783
1.725625,2.8739591,-25.905125
1.730625,3.3783612,-24.055107
1.735625,0.9148044,-20.041763
