X a:y(Car body) - Acceleration of point (0 0 1) of body Car body relative to Base0  SC Base0  projection Y, a:z(Car body) - Acceleration of point (0 0 1) of body Car body relative to Base0  SC Base0  projection Z,
2.110625,0,0.019404024
2.1156249,0,0.025503317
2.120625,0,0.0010165935
2.1256249,0,0.013665907
2.1316249,0,0.010136143
2.1356249,0,-0.0062781903
2.1416249,0,-0.049168266
2.1456251,0,0.012524211
2.150625,0,0.0045504547
2.156625,0,0.028286304
2.160625,0,-0.0052897418
2.1656251,0,0.035725057
2.170625,0,0.0098989122
2.1756251,0,0.0044253403
2.1816249,0,0.0049799066
2.1856251,0,0.0076197842
2.1916251,0,0.032273807
2.1956251,0,-0.0041549886
2.2006249,0,0.0016675439
2.206625,0,0.0023416418
2.2106249,0,-0.013655355
2.216625,0,0.05723663
2.2206249,0,-0.0070134527
2.225625,0,-0.012893739
2.2316251,0,-0.017514497
2.235625,0,-0.0057094852
2.2416251,0,0.049091667
2.245625,0,0.0041708359
2.2506249,0,-0.025720105
2.2566249,0,-0.010691223
2.2606249,0,-0.019237589
2.2666249,0,-0.068499148
2.2706251,0,0.004657717
2.275625,0,-0.0018778678
2.2806251,0,-0.007999083
2.2866249,0,-0.0031140926
2.2906251,0,0.0091448985
2.295625,0,0.056671791
2.3006251,0,0.014069617
2.305625,0,0.012074764
2.311625,0,0.019427612
2.315625,0,0.01298443
2.321625,0,0.05054703
2.3256249,0,0.01696283
2.3306251,0,0.022973772
2.3366251,0,0.034668539
2.340625,0,0.0031818424
2.3466251,0,0.053156119
2.350625,0,0.0012149536
2.3556249,0,0.018034138
2.361625,0,-0.0047863764
2.3656249,0,0.0036495537
2.3716249,0,0.015979093
2.3756249,0,-0.021136411
2.380625,0,-0.016251175
2.3856249,0,-0.0044606654
2.390625,0,-0.0076916674
2.396625,0,-0.0098941373
2.400625,0,0.0020923831
2.4056251,0,-0.018241245
2.4116249,0,-0.022435136
2.4156251,0,-0.0092785545
2.4216249,0,0.0022732639
2.4256251,0,0.067418925
2.430125,0,-0.024918845
2.4351251,0,-0.010169888
2.440125,0,0.0082890373
2.4451251,0,-0.0021821796
2.450125,0,0.0091872122
2.456125,0,0.009860999
2.460125,0,-0.016696461
2.4651251,0,0.021427631
2.4711249,0,-0.00035023136
2.4751251,0,0.013093245
2.4811251,0,0.013959303
2.4851251,0,-0.019870821
2.4901249,0,0.0096574165
2.496125,0,0.0035820995
2.5001249,0,0.008956397
2.506125,0,0.0080124186
2.5101249,0,0.0053927382
2.515125,0,-0.00380654
2.5201249,0,0.00070894434
2.525125,0,-0.00027400345
2.5311251,0,0.0028857295
2.535125,0,-0.0037210663
2.5401249,0,-0.0046455227
2.545125,0,-0.0038846193
2.5506251,0,-0.020542724
2.555625,0,0.00026263043
2.561625,0,-0.0018884768
2.565625,0,0.0010843968
2.571625,0,-0.0038370716
2.5756249,0,-0.0032122417
2.5806251,0,-0.0047086151
2.5856249,0,-0.00055238709
2.590625,0,0.0012046888
2.5966251,0,-0.0047181388
2.600625,0,-0.002656963
2.6056249,0,-0.0052904785
2.610625,0,0.0017564404
2.6156249,0,-0.0005459864
2.6216249,0,0.010272215
2.6256249,0,-0.015164592
2.630625,0,0.024208179
2.6356249,0,-0.011497294
2.640625,0,5.8571179E-0005
2.646625,0,-0.0012292995
2.650625,0,0.0024500992
2.6556251,0,-0.01583056
2.660625,0,0.0035152012
2.6656251,0,-0.00058509101
2.6716249,0,-0.0074927467
2.6756251,0,0.0094864881
2.6816249,0,0.014336525
2.6851251,0,-0.0047227801
2.690125,0,0.0027755604
2.6951251,0,0.0011391891
2.700125,0,-0.0010914808
2.706125,0,-0.0012846661
2.710125,0,0.0022480732
2.716125,0,-0.0042817625
2.720125,0,0.00055299705
2.7251251,0,-1.9125127E-0005
2.7311251,0,-0.0021274281
2.7351251,0,-0.00339401
2.7411251,0,0.00063188892
2.7451251,0,0.012014851
2.7501249,0,-0.0044168099
2.755125,0,0.0022208199
2.7601249,0,-0.0048062592
2.766125,0,-0.010692161
2.7701249,0,-0.013706017
2.775125,0,0.002735687
2.7801249,0,-0.0048490567
2.785125,0,0.00041541041
2.7911251,0,-0.0038447324
2.795125,0,0.0059654135
2.8001249,0,-0.00460112
2.805125,0,0.00031888776
2.8101251,0,-0.0083622755
2.8161249,0,-0.015657982
2.8201251,0,-0.016815292
2.825125,0,0.0042435434
2.8306251,0,-0.011136587
2.8356249,0,0.012414954
2.840625,0,0.002397869
2.8466251,0,-0.011636751
2.850625,0,0.008940245
2.8566251,0,0.0011398119
2.860625,0,-0.00092981907
