X a:y(Car body) - Acceleration of point (6 0 1) of body Car body relative to Base0  SC Base0  projection Y, a:z(Car body) - Acceleration of point (6 0 1) of body Car body relative to Base0  SC Base0  projection Z,
1.715125,0,0.056249686
1.720125,0,0.034529787
1.725125,0,0.036058873
1.731125,0,0.03119782
1.7351249,0,-0.029951517
1.7401249,0,0.065340243
1.7451251,0,0.021516591
1.7501251,0,0.050860967
1.756125,0,0.0093563497
1.760125,0,0.01699907
1.766125,0,0.0029784802
1.770125,0,-0.012849373
1.775625,0,-0.047126226
1.780625,0,-0.05350646
1.786625,0,-0.026081888
1.790625,0,-0.055983029
1.796625,0,-0.063575409
1.800625,0,0.032833263
1.805625,0,-0.099864081
1.811625,0,-0.026616549
1.815625,0,-0.005784106
1.821625,0,-0.075185619
1.8256249,0,-0.023680666
1.8306251,0,-0.010340993
1.836625,0,-0.010309686
1.840625,0,-0.005246446
1.846625,0,-0.015883096
1.850625,0,-0.074105993
1.855625,0,0.056586422
1.861625,0,-0.00018580524
1.865625,0,0.022577612
1.8716249,0,-0.019726736
1.875625,0,0.031059623
1.880625,0,0.027845509
1.885625,0,0.019434731
1.890625,0,0.017858863
1.896625,0,-0.014375755
1.900625,0,-0.085785151
1.905625,0,0.0063825063
1.910625,0,0.00099201396
1.915625,0,-0.0095797824
1.921625,0,-0.021674225
1.925625,0,0.0074960175
1.930625,0,-0.040029757
1.935625,0,0.00056205847
1.940625,0,-0.027477309
1.946625,0,-0.00064257067
1.9506249,0,-0.037919536
1.956625,0,-0.04095839
1.9606251,0,0.015331239
1.965625,0,-0.023241183
1.970625,0,-0.030585051
1.975625,0,-0.019833708
1.981625,0,-0.031392772
1.985625,0,-0.021741657
1.990625,0,-0.013295482
1.995625,0,-0.0017447609
2.0006249,0,-0.0043092771
2.0066249,0,0.014513481
2.0106249,0,-0.0058795866
2.015625,0,0.016361471
2.0206251,0,0.012819386
2.025625,0,0.011808113
2.031625,0,0.039098743
2.035625,0,0.027168324
2.0406251,0,0.02992223
2.045625,0,0.014252447
2.0506251,0,0.016700523
2.0566249,0,0.026676947
2.0606251,0,-0.0097049605
2.065625,0,0.013526437
2.0706251,0,0.01838458
2.0756249,0,0.008921925
2.081625,0,-0.0040984354
2.0856249,0,0.077001795
2.090625,0,0.094627425
2.0956249,0,-0.0029630801
2.100625,0,0.015906217
2.1066251,0,-0.035301693
2.110625,0,0.025217833
2.1156249,0,0.080546439
2.120625,0,-0.0094614178
2.1256249,0,0.026572935
2.1316249,0,0.01808179
2.1356249,0,-0.038730256
2.1416249,0,-0.13980711
2.1456251,0,0.018082285
2.150625,0,-0.001185037
2.156625,0,0.060103353
2.160625,0,-0.037552007
2.1656251,0,0.12246275
2.170625,0,-0.013287255
2.1756251,0,0.01454114
2.1816249,0,0.024086585
2.1856251,0,-0.0014202907
2.1916251,0,0.0099831056
2.1956251,0,0.0058184373
2.2006249,0,0.015174126
2.206625,0,0.02089853
2.2106249,0,-0.0030572277
2.216625,0,0.099390268
2.2206249,0,0.015433732
2.225625,0,-0.0015344853
2.2316251,0,-0.015324779
2.235625,0,0.0088717788
2.2416251,0,0.081357822
2.245625,0,0.0025710682
2.2506249,0,-0.030198781
2.2566249,0,-0.01565849
2.2606249,0,-0.025480013
2.2666249,0,-0.094606802
2.2706251,0,-0.0078529958
2.275625,0,-0.013777475
2.2806251,0,-0.024773059
2.2866249,0,-0.024937259
2.2906251,0,0.0012872221
2.295625,0,0.060738046
2.3006251,0,-0.0062851598
2.305625,0,-0.0023324257
2.311625,0,0.011366783
2.315625,0,0.0035008092
2.321625,0,0.14837426
2.3256249,0,0.0045802821
2.3306251,0,0.042360246
2.3366251,0,0.12648572
2.340625,0,-0.030822551
2.3466251,0,0.0417738
2.350625,0,0.11640417
2.3556249,0,0.016252195
2.361625,0,0.10901688
2.3656249,0,-0.016233908
2.3716249,0,-0.05314327
2.3756249,0,0.025650475
2.380625,0,0.0090585314
2.3856249,0,-0.019771425
2.390625,0,0.01475217
2.396625,0,0.057882387
2.400625,0,-0.046175785
2.4056251,0,-0.029355574
2.4116249,0,-0.037437461
2.4156251,0,-0.01774451
2.4216249,0,0.026125219
2.4256251,0,0.23404117
2.430125,0,-0.10989036
2.4351251,0,-0.043430969
2.440125,0,-0.06370797
2.4451251,0,-0.021574177
2.450125,0,-0.065905094
2.456125,0,-0.042118344
2.460125,0,-0.1161985
2.4651251,0,0.023281591
2.4711249,0,-0.047959983
2.4751251,0,-0.0065388079
2.4811251,0,-0.00079118129
2.4851251,0,-0.11076067
2.4901249,0,0.012893569
2.496125,0,0.011069667
2.5001249,0,0.034850616
2.506125,0,0.049828928
2.5101249,0,0.035247833
2.515125,0,0.052788619
2.5201249,0,0.0396147
2.525125,0,0.039304726
2.5311251,0,0.050850548
2.535125,0,0.044290528
2.5401249,0,0.03448543
2.545125,0,0.029123634
2.5506251,0,-0.028487062
2.555625,0,0.035330299
2.561625,0,0.017023776
2.565625,0,0.025199635
2.571625,0,0.015618542
2.5756249,0,-0.001879788
2.5806251,0,-0.022624956
2.5856249,0,-0.021905551
2.590625,0,-0.021307737
2.5966251,0,-0.041139577
2.600625,0,-0.013530532
2.6056249,0,-0.022600394
2.610625,0,-0.029619206
2.6156249,0,-0.029948691
2.6216249,0,-0.020577466
2.6256249,0,-0.059733089
2.630625,0,-0.074367762
2.6356249,0,-0.015906204
2.640625,0,-0.01123281
2.646625,0,-0.01733578
2.650625,0,0.0083543686
2.6556251,0,0.026242025
2.660625,0,0.011887201
2.6656251,0,0.017657375
2.6716249,0,0.024065671
2.6756251,0,0.037671939
2.6816249,0,0.01444088
2.6851251,0,0.018798964
2.690125,0,0.024128145
2.6951251,0,0.029848842
2.700125,0,0.026758846
2.706125,0,0.028020373
2.710125,0,0.026419334
2.716125,0,0.027168211
2.720125,0,0.018119652
2.7251251,0,0.0078591807
2.7311251,0,0.0014119889
2.7351251,0,-0.006481465
2.7411251,0,-0.01287508
2.7451251,0,-0.021471711
2.7501249,0,-0.018208582
2.755125,0,-0.020384433
2.7601249,0,-0.023372749
2.766125,0,-0.01720361
2.7701249,0,0.00023641437
2.775125,0,-0.02446902
2.7801249,0,-0.021927496
2.785125,0,-0.0442788
2.7911251,0,-0.035589226
2.795125,0,-0.021846991
2.8001249,0,-0.020612324
2.805125,0,-0.014303296
2.8101251,0,-0.017474813
2.8161249,0,-0.020165009
2.8201251,0,0.011376999
2.825125,0,0.0085354829
2.8306251,0,-0.0067971889
2.8356249,0,0.0269705
2.840625,0,0.024241019
2.8466251,0,0.022494622
2.850625,0,0.034335826
2.8566251,0,0.031646483
2.860625,0,0.024902672
2.8651249,0,0.015811853
2.8701251,0,0.043429002
2.8751249,0,-0.02111781
2.881125,0,-0.070276663
2.8851249,0,0.049049914
2.891125,0,0.073598973
2.8951249,0,-0.0043085404
2.901125,0,0.0093218312
2.9051249,0,0.0067153797
2.910625,0,-0.014964662
2.9156251,0,-0.0095435847
2.9216249,0,-0.022061322
2.9256251,0,-0.02257113
2.9316249,0,-0.025288111
2.9356251,0,-0.082692988
2.9416251,0,-0.23135456
2.9456251,0,-0.0028695315
2.9506249,0,-0.032379273
2.956625,0,0.06667497
